candidate_id,beam_id,annotation_id,raw_text,outcome,priority,reasons,quantity_status
VC::B133A::ANN-22103cdc,B133A,ANN-22103cdc,3-Y25,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B133A::ANN-4f8e4022,B133A,ANN-4f8e4022,3L-Y10@100/175/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B133A::ANN-e5f45d29,B133A,ANN-e5f45d29,2-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134::ANN-8d177bc6,B134,ANN-8d177bc6,4L-Y8@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B134::ANN-92cdfb99,B134,ANN-92cdfb99,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134::ANN-da8ba35e,B134,ANN-da8ba35e,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134A::ANN-257f6cd3,B134A,ANN-257f6cd3,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134A::ANN-84f13ade,B134A,ANN-84f13ade,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134A::ANN-876c56c7,B134A,ANN-876c56c7,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B134A::ANN-8ec13e05,B134A,ANN-8ec13e05,4L-Y10@100/125/100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
VC::B134A::ANN-fc646ee1,B134A,ANN-fc646ee1,4-Y16,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B135::ANN-4d4a80b4,B135,ANN-4d4a80b4,5-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B135::ANN-94d2ff7a,B135,ANN-94d2ff7a,3-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B135A::ANN-1bac51e8,B135A,ANN-1bac51e8,4-Y20,EXCLUDED,P3,VISION_NOT_REQUIRED,EXPLICIT
VC::B135A::ANN-fea851b0,B135A,ANN-fea851b0,4L-Y8@100C/C,EXCLUDED,P3,VISION_NOT_REQUIRED,SPACING_BASED
