beam_id,evidence_id,ownership_id,source_handle,entity_type,layer,annotation_id,leader_id,annotation_text
B97A,OWNGEO::B97A::1247FFF,OWN::B97A::1247FFF,1247FFF,LWPOLYLINE,-STR-BEAM,ANN-d7128f62,LDR::E83C245B,4-Y25
B98A,OWNGEO::B98A::1247FFE,OWN::B98A::1247FFE,1247FFE,LWPOLYLINE,-STR-BEAM,ANN-2a9913fa,LDR::1812F192,4-Y25
