beam_id,ownership_id,source_handle,paint_count,rv_rendered,rv_distinguishable,crop_w,crop_h,extreme
B97A,OWN::B97A::1247FFF,1247FFF,1,True,True,5410.138447962701,3219.220000002533,False
B98A,OWN::B98A::1247FFE,1247FFE,1,True,True,3585.400000002235,3048.940000001341,False
