beam_id,root_cause,confidence,vision_crop_status,crop_height_mm,dominant_expander_id,t18_rejected_bars_included_before,fix_applied
B97A,EVIDENCE_EXPANSION_ERROR,HIGH,VISION_CROP_EXTREME,47206.53000000119,BAR::5B1BFCC2,BAR::2B7B3233;BAR::5B1BFCC2,True
B98A,EVIDENCE_EXPANSION_ERROR,HIGH,VISION_CROP_EXTREME,76101.44508749992,BAR::E6591903,BAR::E6591903;BAR::4D469A4E,True
