intent_id,beam_id,annotation_id,raw_text,normalized_text,semantic_type,reinforcement_role,quantity_expression,quantity_value,quantity_status,quantity_source,diameter_expression,diameter_value_mm,spacing_expression,spacing_value_mm,spacing_values_mm,leg_expression,leg_count,unit,component_count,components_json,confidence,validation_status,validation_reasons,accepted,leader_id,ownership_id,source_handle,evidence_id,chain_semantic_type
QI::B88::ANN-d0e07ba8,B88,ANN-d0e07ba8,2L-Y10@100C/C,2L-Y10@100C/C,STIRRUP,STIRRUP,2L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,2L,2,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B88::ANN-e17b9305,B88,ANN-e17b9305,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::BD44B010,,,,BarCallout
QI::B89::ANN-09305d02,B89,ANN-09305d02,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::F9AF6118,,,,BarCallout
QI::B89::ANN-5a9491de,B89,ANN-5a9491de,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::87AB34F2,,,,BarCallout
QI::B89::ANN-ac26322b,B89,ANN-ac26322b,2L-Y10@100C/C,2L-Y10@100C/C,STIRRUP,STIRRUP,2L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,2L,2,SPACING_MM,0,[],0.99,PASS,,True,LDR::87AB34F2,,,,StirrupNote
QI::B91::ANN-6cd6c4ac,B91,ANN-6cd6c4ac,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::5F29669D,OWN::B91::11CFD7C,,,BarCallout
QI::B91::ANN-c7bea6e0,B91,ANN-c7bea6e0,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,LDR::5F29669D,OWN::B91::11CFD7C,,,StirrupNote
QI::B91::ANN-e3545401,B91,ANN-e3545401,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::906F6F15,OWN::B91::11CFD79,,,BarCallout
QI::B92::ANN-60535de4,B92,ANN-60535de4,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::9846055F,,,,BarCallout
QI::B92::ANN-a092beab,B92,ANN-a092beab,2L-Y10@100C/C,2L-Y10@100C/C,STIRRUP,STIRRUP,2L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,2L,2,SPACING_MM,0,[],0.99,PASS,,True,LDR::4D600A63,,,,StirrupNote
QI::B92::ANN-ff7b7e50,B92,ANN-ff7b7e50,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::4D600A63,,,,BarCallout
QI::B93::ANN-185c548b,B93,ANN-185c548b,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::DA9B46C5,OWN::B93::11CF9C6,,,BarCallout
QI::B93::ANN-63922707,B93,ANN-63922707,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::AF856B98,OWN::B93::11CF9C4,,,BarCallout
QI::B93::ANN-6420ec3e,B93,ANN-6420ec3e,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B94::ANN-7437ef48,B94,ANN-7437ef48,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::B1E7552C,,,,BarCallout
QI::B94::ANN-ecffa6fb,B94,ANN-ecffa6fb,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,LDR::D26B8351,,,,StirrupNote
QI::B94::ANN-f7292ac1,B94,ANN-f7292ac1,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::D26B8351,,,,BarCallout
QI::B96::ANN-448f2246,B96,ANN-448f2246,4-Y25,4-Y25,LONGITUDINAL_BAR,UNKNOWN,4-Y25,4,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 4, 'd': 25.0, 'expr': '4-Y25'}]",0.9,PASS,,True,LDR::E00AA6E6,,,,BarCallout
QI::B96::ANN-c0ee6243,B96,ANN-c0ee6243,2-Y16,2-Y16,LONGITUDINAL_BAR,UNKNOWN,2-Y16,2,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 2, 'd': 16.0, 'expr': '2-Y16'}]",0.9,PASS,,True,LDR::13C556CB,,,,BarCallout
QI::B96::ANN-ccf65792,B96,ANN-ccf65792,4L-Y8@100C/125100/C,4L-Y8@100C/125100/C,STIRRUP,STIRRUP,4L-Y8@100C/125100/C,,SPACING_BASED,STIRRUP_PATTERN,Y8,8.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,LDR::E00AA6E6,,,,StirrupNote
QI::B96A::ANN-2a029aa5,B96A,ANN-2a029aa5,SIDE.FACE.REINFORCEMENT. DETAILS FOR BEAM,SIDE.FACE.REINFORCEMENT.DETAILSFORBEAM,UNKNOWN,UNKNOWN,SIDE.FACE.REINFORCEMENT. DETAILS FOR BEAM,,UNRESOLVED,UNRESOLVED,,,,,,,,COUNT,0,[],0.45,PASS,,True,,,,,SideFaceReinforcement
QI::B96A::ANN-9114a4de,B96A,ANN-9114a4de,S.F.R.ON EACH FACE,S.F.R.ONEACHFACE,UNKNOWN,UNKNOWN,S.F.R.ON EACH FACE,,UNRESOLVED,UNRESOLVED,,,,,,,,COUNT,0,[],0.45,PASS,,True,LDR::63051B26,OWN::B96A::11F8B87,,,Unknown
QI::B96A::ANN-92cee6f4,B96A,ANN-92cee6f4,Ld+10bd+10db,LD+10BD+10DB,UNKNOWN,UNKNOWN,Ld+10bd+10db,,UNRESOLVED,UNRESOLVED,,,,,,,,COUNT,0,[],0.45,PASS,,True,,,,,DevelopmentLength
QI::B96A::ANN-f735db93,B96A,ANN-f735db93,Ld+10bd+10db,LD+10BD+10DB,UNKNOWN,UNKNOWN,Ld+10bd+10db,,UNRESOLVED,UNRESOLVED,,,,,,,,COUNT,0,[],0.45,PASS,,True,,,,,DevelopmentLength
QI::B97::ANN-36d43665,B97,ANN-36d43665,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::275279C3,,,,BarCallout
QI::B97::ANN-877dbda1,B97,ANN-877dbda1,3-Y25,3-Y25,LONGITUDINAL_BAR,UNKNOWN,3-Y25,3,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 3, 'd': 25.0, 'expr': '3-Y25'}]",0.9,PASS,,True,,,,,BarCallout
QI::B97::ANN-e814c185,B97,ANN-e814c185,3-Y16,3-Y16,LONGITUDINAL_BAR,UNKNOWN,3-Y16,3,EXPLICIT,ANNOTATION_TEXT,Y16,16.0,,,,,,COUNT,1,"[{'q': 3, 'd': 16.0, 'expr': '3-Y16'}]",0.9,PASS,,True,LDR::98B897E4,,,,BarCallout
QI::B97A::ANN-6f8c4df1,B97A,ANN-6f8c4df1,4L-Y8@100C/C,4L-Y8@100C/C,STIRRUP,STIRRUP,4L-Y8@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y8,8.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B97A::ANN-d7128f62,B97A,ANN-d7128f62,4-Y25,4-Y25,LONGITUDINAL_BAR,TOP_BAR,4-Y25,4,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 4, 'd': 25.0, 'expr': '4-Y25'}]",0.99,PASS,,True,LDR::E83C245B,OWN::B97A::1247FFF,1247FFF,OWNGEO::B97A::1247FFF,BarCallout
QI::B97A::ANN-d86396b9,B97A,ANN-d86396b9,4L-Y8@100C/C,4L-Y8@100C/C,STIRRUP,STIRRUP,4L-Y8@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y8,8.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,LDR::E83C245B,OWN::B97A::1247FFF,,,StirrupNote
QI::B98::ANN-4ae84222,B98,ANN-4ae84222,4-Y25,4-Y25,LONGITUDINAL_BAR,UNKNOWN,4-Y25,4,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 4, 'd': 25.0, 'expr': '4-Y25'}]",0.9,PASS,,True,LDR::4EF3E792,,,,BarCallout
QI::B98::ANN-d45b39ac,B98,ANN-d45b39ac,4L-Y8@100/150/100C/C,4L-Y8@100/150/100C/C,STIRRUP,STIRRUP,4L-Y8@100/150/100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y8,8.0,100/150/100,,100|150|100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,LDR::4EF3E792,,,,StirrupNote
QI::B98A::ANN-2a9913fa,B98A,ANN-2a9913fa,4-Y25,4-Y25,LONGITUDINAL_BAR,TOP_BAR,4-Y25,4,EXPLICIT,ANNOTATION_TEXT,Y25,25.0,,,,,,COUNT,1,"[{'q': 4, 'd': 25.0, 'expr': '4-Y25'}]",0.99,PASS,,True,LDR::1812F192,OWN::B98A::1247FFE,1247FFE,OWNGEO::B98A::1247FFE,BarCallout
QI::B98A::ANN-de653a14,B98A,ANN-de653a14,4L-Y10@100C/C,4L-Y10@100C/C,STIRRUP,STIRRUP,4L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B99::ANN-03ccfc60,B99,ANN-03ccfc60,3L-Y10@100C/C,3L-Y10@100C/C,STIRRUP,STIRRUP,3L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,3L,3,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
QI::B99::ANN-1e734cff,B99,ANN-1e734cff,3-Y20,3-Y20,LONGITUDINAL_BAR,UNKNOWN,3-Y20,3,EXPLICIT,ANNOTATION_TEXT,Y20,20.0,,,,,,COUNT,1,"[{'q': 3, 'd': 20.0, 'expr': '3-Y20'}]",0.9,PASS,,True,LDR::C317406A,,,,BarCallout
QI::B99A::ANN-739ba2c3,B99A,ANN-739ba2c3,4L-Y10@100C/C,4L-Y10@100C/C,STIRRUP,STIRRUP,4L-Y10@100C/C,,SPACING_BASED,STIRRUP_PATTERN,Y10,10.0,100,100.0,100,4L,4,SPACING_MM,0,[],0.99,PASS,,True,,,,,StirrupNote
