beam_id,owned_count,reinf_count,ann_count,leader_count,crop_bbox,qa_overall,own_inside,extreme
B97A,1,0,3,1,"[31646955.30694844, -21211038.03, 31652365.4453964, -21207818.81]",PASS,True,False
B98A,1,0,2,1,"[31651335.2, -21210918.03, 31654920.6, -21207869.09]",PASS,True,False
