beam_id,overall,TARGET_BEAM_PRESENT,TARGET_BEAM_GEOMETRY_PRESENT,RELEVANT_REINFORCEMENT_PRESENT,RELEVANT_ANNOTATION_PRESENT,RELEVANT_LEADER_PRESENT,COMPLETE_LEADER_CHAIN,RELEVANT_EVIDENCE_NOT_CLIPPED,CROP_NOT_EMPTY,CROP_NOT_EXCESSIVELY_CLUTTERED,TARGET_BEAM_NOT_CONFUSED_WITH_NEIGHBOR,COORDINATE_TRANSFORM_VALID,RENDER_SUCCESS,OWN_TOP_BAR_PRESENT,OWN_TOP_BAR_INSIDE_CROP,OWN_TOP_BAR_SOURCE_VALID,OWN_TOP_BAR_LINKED_TO_ACCEPTED_CHAIN,REJECTED_PHYSICAL_BAR_EXCLUDED,CROP_NOT_EXTREME
B97A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B98A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
