beam_id,evidence_id,ownership_id,source_handle,entity_type,layer,annotation_id,leader_id,annotation_text,semantic_role,evidence_type,dxf_resolved,bbox
B97A,OWNGEO::B97A::1247FFF,OWN::B97A::1247FFF,1247FFF,LWPOLYLINE,-STR-BEAM,ANN-d7128f62,LDR::E83C245B,4-Y25,TOP_BAR,OWN_TOP_BAR,True,"[31649245.44539641, -21208369.09241377, 31652245.4453964, -21208369.09241377]"
B98A,OWNGEO::B98A::1247FFE,OWN::B98A::1247FFE,1247FFE,LWPOLYLINE,-STR-BEAM,ANN-2a9913fa,LDR::1812F192,4-Y25,TOP_BAR,OWN_TOP_BAR,True,"[31652645.44539641, -21208369.09241377, 31654759.85840589, -21208369.09241377]"
