beam_id,cohort,crop_height_mm,crop_width_mm,beam_height_mm,beam_width_mm,crop_height_to_beam_height_ratio,crop_width_to_beam_width_ratio,crop_area_to_beam_area_ratio,max_y_gap_mm,max_spatial_distance_mm,dominant_expander_id,dominant_expander_kind,dominant_y_gap_mm
B59,OTHER,80147.95,9140.33,4376.06,3501.45,18.3151,2.6104,47.8105,59448.39,59448.39,BAR::72447C5B,reinforcement,59448.39
B60,KNOWN_GOOD,4674.645,6244.193,4376.06,3501.45,1.0682,1.7833,1.905,0.0,0.0,ANN-e26a27bf,annotation,0.0
B61,OTHER,48266.48,5157.735,4522.04,3900.0,10.6736,1.3225,14.1158,43464.44,43464.44,BAR::0B2CB79F,reinforcement,43464.44
B63,OTHER,4910.1,4063.787,2281.38,3443.36,2.1522,1.1802,2.54,2028.72,2028.72,LDR::6DD13D19,leader,2028.72
B64,OTHER,3876.217,18020.046,1965.8,3443.36,1.9718,5.2333,10.3191,1310.417,1310.417,LDR::B8659187,leader,1310.417
B65,OTHER,4480.1,16521.145,4240.1,3900.0,1.0566,4.2362,4.476,0.0,0.0,ANN-026fe9de,annotation,0.0
B66,OTHER,4928.35,18020.046,4688.35,3900.0,1.0512,4.6205,4.8571,0.0,0.0,ANN-830f2ae1,annotation,0.0
B68,OTHER,89149.73,8451.3,3496.16,3900.0,25.4993,2.167,55.257,78595.26,78595.26,BAR::05250063,reinforcement,78595.26
B68A,OTHER,4077.161,11741.067,3289.61,3900.0,1.2394,3.0105,3.7313,122.71,176.145,LDR::4C5A0243,leader,122.71
B69,OTHER,3880.985,7425.33,3310.99,3900.0,1.1722,1.9039,2.2317,0.0,700.524,LDR::980464C3,leader,0.0
B70,OTHER,83442.55,4140.0,4635.39,3900.0,18.0012,1.0615,19.109,78527.16,78527.16,BAR::037954ED,reinforcement,78527.16
B70A,OTHER,3471.232,10606.388,2968.12,3900.0,1.1695,2.7196,3.1806,0.0,0.0,ANN-4dca497a,annotation,0.0
B71,OTHER,6512.605,13141.056,4573.46,3900.0,1.424,3.3695,4.7982,1390.645,1390.645,ANN-e8fa1fe7,annotation,1390.645
B72,OTHER,4613.46,13080.114,4373.46,3900.0,1.0549,3.3539,3.5379,0.0,0.0,ANN-91617cb9,annotation,0.0
B73,OTHER,37320.17,4168.264,4833.96,3900.0,7.7204,1.0688,8.2515,32206.21,32206.21,BAR::C84E3402,reinforcement,32206.21
B74,OTHER,5091.656,13182.354,4440.66,3900.0,1.1466,3.3801,3.8756,102.496,102.496,ANN-0b0dd105,annotation,102.496
B75,OTHER,4680.66,11880.114,4440.66,3900.0,1.054,3.0462,3.2108,0.0,0.0,ANN-c5e29764,annotation,0.0
B76,OTHER,13677.18,5279.98,4457.4,3900.0,3.0684,1.3538,4.1542,8939.78,8939.78,BAR::CE051B80,reinforcement,8939.78
B77,OTHER,3219.23,11371.976,2979.23,3900.0,1.0806,2.9159,3.1508,0.0,0.0,ANN-15f8f3b0,annotation,0.0
B78,OTHER,19067.513,4329.74,2979.23,3900.0,6.4001,1.1102,7.1054,14958.57,14958.57,BAR::057B8767,reinforcement,14958.57
B79,OTHER,84827.71,20595.77,3882.7,3742.12,21.8476,5.5038,120.2442,55689.5,55689.5,BAR::E0FC88F3,reinforcement,55689.5
B80,OTHER,51771.04,3802.29,3746.78,3562.29,13.8175,1.0674,14.7484,47744.26,47744.26,BAR::14F9DBF6,reinforcement,47744.26
B81,OTHER,90369.59,5491.05,3854.61,3562.3,23.4445,1.5414,36.1382,61959.47,61959.47,BAR::CB6A1CB2,reinforcement,61959.47
B82,OTHER,3108.18,4463.8,2868.18,3742.11,1.0837,1.1929,1.2927,0.0,0.0,ANN-4679b76c,annotation,0.0
B83,OTHER,33073.9,7126.7,3838.06,3900.0,8.6173,1.8274,15.747,26828.4,26828.4,BAR::0261A480,reinforcement,26828.4
B85,OTHER,3817.78,5660.286,3577.78,3900.0,1.0671,1.4514,1.5487,0.0,0.0,ANN-324ae3bb,annotation,0.0
B86,OTHER,60956.81,4140.0,4911.42,3900.0,12.4112,1.0615,13.175,37617.27,37617.27,BAR::F778BF1F,reinforcement,37617.27
B88,OTHER,4169.44,4270.751,3862.85,3814.27,1.0794,1.1197,1.2085,0.0,0.0,ANN-d0e07ba8,annotation,0.0
B89,OTHER,5370.4,4151.628,5063.81,3718.11,1.0605,1.1166,1.1842,0.0,0.0,ANN-ac26322b,annotation,0.0
B91,OTHER,79510.35,4089.13,3970.83,3642.45,20.0236,1.1226,22.4791,40418.38,40418.38,BAR::7E175725,reinforcement,40418.38
B92,OTHER,79532.01,3993.9,3970.83,3518.24,20.0291,1.1352,22.737,40440.04,40440.04,BAR::49096AE5,reinforcement,40440.04
B93,OTHER,28011.52,3772.5,6644.0,3532.5,4.2161,1.0679,4.5025,21087.52,21087.52,BAR::CE68D305,reinforcement,21087.52
B94,OTHER,90613.45,3992.89,4474.01,3752.89,20.2533,1.064,21.5485,48602.17,48602.17,BAR::38F22198,reinforcement,48602.17
B96,OTHER,4595.979,9140.33,3450.98,3900.0,1.3318,2.3437,3.1213,544.999,945.065,LDR::C2B73DD0,leader,544.999
B96A,OTHER,76745.567,4831.143,7148.88,3900.0,10.7353,1.2388,13.2984,67690.67,67690.67,BAR::61079B00,reinforcement,67690.67
B97,OTHER,4130.27,27623.972,3890.27,3900.0,1.0617,7.0831,7.52,0.0,0.0,ANN-e814c185,annotation,0.0
B97A,FOCUS,3219.22,4999.893,2979.22,3585.39,1.0806,1.3945,1.5069,0.0,598.503,ANN-6f8c4df1,annotation,0.0
B98,OTHER,3089.13,9140.331,2849.13,3900.0,1.0842,2.3437,2.5411,0.0,0.0,ANN-4ae84222,annotation,0.0
B98A,FOCUS,3048.94,3585.4,3048.94,3585.4,1.0,1.0,1.0,0.0,0.0,ANN-2a9913fa,annotation,0.0
B99,OTHER,3154.99,27623.972,2914.99,3900.0,1.0823,7.0831,7.6662,0.0,0.0,ANN-03ccfc60,annotation,0.0
B99A,OTHER,74609.03,3825.4,7081.07,3585.4,10.5364,1.0669,11.2417,67247.96,67247.96,BAR::AA5F237F,reinforcement,67247.96
