accepted_instance_count,accepted_matches_main,annotation_text,annotation_xy_available,association,beam_id,bottom_object_count,bottom_quantity,context_status,diameter,diameter_conflict_count,eval_stratum,evidence_codes,extra_object_count,hypothetical_decision,leader_geometry_available,longitudinal_coverage,max_repeat_dy,min_object_distance,observed_decision,physical_bar_geometry_available,populated_layer,quantity,quantity_shortfall_count,rejected_matching_populated,role,role_conflict_count,role_gap_reason,role_gap_status,set_key,tip_layer_votes,top_object_count,top_quantity,unique_accepted_spec_count
0,False,"[""3-Y16"", ""3-Y20"", ""3-Y25"", ""3-Y25"", ""3-Y25"", ""3-Y25""]",True,TARGET_BEAM,B164,5,,CONTEXT_SUPPORTS_CALL,"[16, 20, 25, 25, 25, 25]",0,EASY,"[""REPEATED_SAME_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SEPARATE_CLUSTER"", ""TOP_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,185.23998687417486,SKIP_VISION,True,,"[3, 3, 3, 3, 3, 3]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""TOP"", ""TOP"", ""TOP""]",5,,0
0,False,"[""3-Y20"", ""2-Y16""]",True,TARGET_BEAM,B56,1,,CONTEXT_AMBIGUOUS,"[20, 16]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,370.419611544437,SKIP_VISION,True,,"[3, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""BOUNDARY"", ""BOUNDARY""]",5,,0
0,False,"[""3-Y20""]",True,TARGET_BEAM,B57,3,,CONTEXT_AMBIGUOUS,[20],0,EASY,"[""SEPARATE_CLUSTER"", ""BOTTOM_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,329.39755419791817,SKIP_VISION,True,,[3],0,False,"[""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""BOTTOM""]",1,,0
0,False,"[""2-Y16""]",True,TARGET_BEAM,B64,1,,CONTEXT_AMBIGUOUS,[16],0,EASY,"[""NO_PHYSICAL_BAR_GEOMETRY"", ""BOTTOM_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,,SKIP_VISION,False,,[2],0,False,"[""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""BOTTOM""]",3,,0
0,False,"[""4-Y25"", ""4-Y20""]",True,TARGET_BEAM,B72,1,,CONTEXT_AMBIGUOUS,"[25, 20]",0,EASY,"[""SEPARATE_CLUSTER"", ""BOTTOM_PROXIMITY"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,784.2931896363116,SKIP_VISION,True,,"[4, 4]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""BOTTOM"", ""BOUNDARY""]",3,,0
0,False,"[""4-Y16"", ""4-Y25"", ""4-Y20"", ""2-Y12""]",True,TARGET_BEAM,B77,4,,CONTEXT_SUPPORTS_CALL,"[16, 25, 20, 12]",0,EASY,"[""ANNOTATION_CLUSTER_SEPARATION"", ""SEPARATE_CLUSTER"", ""TOP_PROXIMITY"", ""BOTTOM_PROXIMITY""]",0,CALL_VISION,True,QUANTITY_SHORTFALL,0.0,335.12516777698977,CALL_VISION,True,,"[4, 4, 4, 2]",1,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fifth,"[""TOP"", ""BOTTOM""]",1,,0
0,False,"[""3-Y16"", ""3-Y20""]",True,TARGET_BEAM,B103,1,,CONTEXT_AMBIGUOUS,"[16, 20]",0,EASY,"[""NO_PHYSICAL_BAR_GEOMETRY"", ""ANNOTATION_CLUSTER_SEPARATION"", ""TOP_PROXIMITY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,,SKIP_VISION,False,,"[3, 3]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""TOP"", ""TOP""]",3,,0
0,False,"[""5-Y25"", ""3-Y20""]",True,TARGET_BEAM,B126,1,,CONTEXT_AMBIGUOUS,"[25, 20]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,373.8723151869651,SKIP_VISION,True,,"[5, 3]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOUNDARY"", ""BOUNDARY""]",3,,0
0,False,"[""5-Y20"", ""2-Y16""]",True,TARGET_BEAM,B133,1,,CONTEXT_AMBIGUOUS,"[20, 16]",0,EASY,"[""SAME_CLUSTER"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,0.0,329.75976600954425,SKIP_VISION,True,,"[5, 2]",0,False,"[""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""BOUNDARY"", ""BOUNDARY""]",3,,0
0,False,"[""3-Y20"", ""3-Y20"", ""3-Y20"", ""3-Y20""]",True,TARGET_BEAM,B134,3,,CONTEXT_SUPPORTS_CALL,"[20, 20, 20, 20]",0,EASY,"[""REPEATED_SEPARATE_LOCATION"", ""ANNOTATION_CLUSTER_SEPARATION"", ""SPATIAL_SEPARATION_STRONG"", ""SEPARATE_CLUSTER"", ""TOP_PROXIMITY"", ""ZONE_BOUNDARY""]",0,SKIP_VISION,True,FULLY_COVERED,1114.8524309508502,217.8771792814654,SKIP_VISION,True,,"[3, 3, 3, 3]",0,False,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]",0,NOT_ROLE_COVERAGE_GAP,ROLE_GAP_NOT_APPLICABLE,Fourth,"[""TOP"", ""BOUNDARY"", ""TOP"", ""BOUNDARY""]",1,,0
