beam_id,bar_id,dxf_handle,layer,r31_y,t18_accepted,t18_rule,t18_reason
B97A,BAR::2B7B3233,1221B7C,-STR-REINF,-21183448.19,False,R5_NEIGHBOUR_REJECT,bar_y_outside_reinforcement_elevation
B97A,BAR::5B1BFCC2,12469C4,-STR-REINF,-21163971.5,False,R5_NEIGHBOUR_REJECT,bar_y_outside_reinforcement_elevation
B98A,BAR::E6591903,11CD1B5,-STR-REINF,-21139158.42,False,R5_NEIGHBOUR_REJECT,bar_y_outside_reinforcement_elevation
B98A,BAR::4D469A4E,11CD1B7,-STR-REINF,-21140158.42,False,R5_NEIGHBOUR_REJECT,bar_y_outside_reinforcement_elevation
