beam_id,accepted_top_bar_annotation,accepted_leader,target_beam_ownership,accepted_physical_reinforcement_count,condition_ACCEPTED_SEMANTIC_WITHOUT_PHYSICAL_GEOMETRY,upstream_physical_geometry_available,upstream_geometry_id,legitimate_or_missing_detection
B97A,True,True,True,0,True,True,OWN::B97A::1247FFF,UPSTREAM_GEOMETRY_EXISTS_BUT_NOT_PACKAGED
B98A,True,True,True,0,True,True,OWN::B98A::1247FFE,UPSTREAM_GEOMETRY_EXISTS_BUT_NOT_PACKAGED
