beam_id,bar_id,classification,confidence,corresponds_to_4Y25
B97A,BAR::2B7B3233,FALSE_CANDIDATE,HIGH,False
B97A,BAR::5B1BFCC2,FALSE_CANDIDATE,HIGH,False
B98A,BAR::E6591903,FALSE_CANDIDATE,HIGH,False
B98A,BAR::4D469A4E,FALSE_CANDIDATE,HIGH,False
