beam_id,beam_present,reinforcement_present,annotation_present,leader_present,leader_chain_complete,evidence_clipped,neighbour_ambiguity,crop_qa_overall,expanded,pipeline_annotation_coverage_pct,pipeline_leader_coverage_pct,pipeline_reinforcement_coverage_pct,gt_bar_count,gt_reinforcement_evidence_present,engineering_crop,evidence_overlay
B134,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,6,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B134\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B134\evidence_overlay.png
B134A,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B134A\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B134A\evidence_overlay.png
B135,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,22,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B135\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B135\evidence_overlay.png
B135A,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,0,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B135A\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B135A\evidence_overlay.png
B136,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,9,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B136\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B136\evidence_overlay.png
B139,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,0,False,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B139\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B139\evidence_overlay.png
B14,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,10,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B14\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B14\evidence_overlay.png
B140,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B140\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B140\evidence_overlay.png
B141,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,4,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B141\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B141\evidence_overlay.png
B142,True,True,True,True,True,False,False,PASS,True,100.0,100.0,100.0,3,True,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B142\engineering_crop.png,C:\Users\nishanth.h\SteelBeamEstimator\Version10\data\output\PhaseP250_beam_evidence_crop_qa\beams\B142\evidence_overlay.png
